Month,DayOfWeek,IsWeekend,PaymentMethod,PurchaseAmount,Item,Rating
3,3,0,Cash,396.83749283521485,Dress,2
1,2,0,Credit Card,66.41262897534787,T-shirt,2
4,0,0,Cash,115.67459771549169,Sweater,4
2,3,0,Cash,283.2875989735862,Skirt,5
8,4,0,Cash,227.7703040675681,T-shirt,3
4,1,0,Credit Card,875.2457639473471,Sweater,5
2,5,1,Credit Card,986.4945985853669,Dress,4
6,3,0,Credit Card,818.5069257084843,Belt,2
6,4,0,Cash,732.5504137216966,Skirt,3
10,0,0,Credit Card,592.7378985280411,Handbag,2
4,0,0,Cash,772.209216188074,Dress,6
6,4,0,Credit Card,947.5629790704669,Belt,2
2,5,1,Credit Card,605.3312232080102,Scarf,4
10,4,0,Credit Card,163.06711157963557,Skirt,3
12,1,0,Credit Card,172.21973409603248,Dress,2
2,0,0,Credit Card,588.0241750973004,Dress,4
10,4,0,Cash,340.13385438695974,Dress,5
4,2,0,Cash,911.1449014925197,Sweater,2
8,2,0,Credit Card,615.5259104976126,Skirt,2
7,4,0,Cash,679.7276872891267,Scarf,4
12,1,0,Credit Card,15.762502999893545,Scarf,5
9,0,0,Credit Card,503.8600665419968,Sweater,2
8,2,0,Credit Card,436.8530741750226,Sweater,2
5,4,0,Credit Card,708.8131381998576,Scarf,2
2,6,1,Credit Card,388.812273730032,Sweater,5
5,4,0,Credit Card,976.8092815682907,Sweater,2
8,3,0,Credit Card,673.5011497408378,T-shirt,3
10,4,0,Cash,663.3191498111635,Scarf,5
9,1,0,Cash,920.1477333104028,Sweater,3
12,2,0,Credit Card,995.2527855593622,Scarf,4
12,3,0,Cash,205.84248236949213,Sweater,4
12,2,0,Credit Card,812.4278117825808,T-shirt,4
9,2,0,Cash,170.69630036880721,Jeans,3
1,1,0,Cash,462.4730185236678,Jeans,5
9,4,0,Credit Card,109.18355028914544,Jeans,2
7,1,0,Credit Card,627.1372686824932,Handbag,1
9,4,0,Cash,473.83298177102427,Sneakers,5
8,3,0,Credit Card,632.4119588424579,Handbag,3
1,1,0,Cash,681.1811450892588,Dress,5
12,1,0,Credit Card,623.2379275309256,Handbag,3
8,6,1,Cash,301.08883138129937,Jacket,3
8,5,1,Cash,838.5895656712321,Dress,3
11,0,0,Cash,556.1693373813729,Sweater,3
3,1,0,Credit Card,494.95266148463514,Jeans,5
1,5,1,Cash,987.1931661925256,Sneakers,5
8,0,0,Credit Card,290.6728276394121,Sweater,5
3,6,1,Credit Card,532.7500018462214,Sweater,5
3,4,0,Credit Card,685.5013328219115,Skirt,1
1,4,0,Credit Card,133.97367360390126,Skirt,3
11,4,0,Credit Card,360.69732690507004,Sweater,4
5,5,1,Cash,803.6718288373529,Dress,2
10,5,1,Credit Card,244.39065225383172,Jacket,2
7,0,0,Credit Card,498.3574612545706,Jacket,6
10,4,0,Cash,634.3242999231413,Jacket,5
9,2,0,Cash,674.4507297745241,Sneakers,4
12,1,0,Credit Card,731.0273376273476,Scarf,3
7,5,1,Credit Card,867.3175438725149,Jeans,1
9,5,1,Credit Card,398.93084860330123,T-shirt,2
8,5,1,Cash,709.5656067042175,Jeans,3
12,0,0,Credit Card,734.8529012925491,Jacket,3
2,4,0,Credit Card,307.2713888257203,Jeans,6
1,2,0,Cash,968.4763707095248,Jacket,5
7,1,0,Cash,866.5669817868414,Jacket,2
7,1,0,Cash,296.9627154125684,Belt,1
8,4,0,Credit Card,678.3179899201177,Sweater,3
5,2,0,Credit Card,720.622628114701,T-shirt,1
3,0,0,Credit Card,437.16879991262556,Dress,4
12,5,1,Cash,865.1058530815567,T-shirt,4
8,5,1,Cash,693.3270599739493,Sweater,3
6,6,1,Credit Card,661.573138301191,Belt,1
11,4,0,Cash,228.63196856187102,Handbag,4
3,1,0,Cash,413.76388823608664,Sneakers,6
1,5,1,Cash,439.58326424102637,T-shirt,5
3,6,1,Cash,736.3244856132303,Handbag,1
5,1,0,Credit Card,622.2105998049769,Belt,6
3,1,0,Credit Card,95.00198472000439,Dress,3
1,4,0,Cash,314.62097236836763,Handbag,1
5,3,0,Cash,478.3170294169301,Sweater,2
10,6,1,Cash,739.3656163984231,Sweater,4
7,3,0,Cash,746.1334387788773,Handbag,3
7,3,0,Cash,495.6378754859204,Sneakers,3
11,6,1,Credit Card,125.76305843807081,Handbag,1
9,2,0,Cash,299.97436933911064,Belt,3
10,4,0,Credit Card,262.14545842459853,Handbag,3
10,6,1,Credit Card,783.2161462051588,Scarf,3
12,1,0,Cash,188.18645086559704,Jeans,3
3,6,1,Credit Card,470.27201017124025,Skirt,5
7,5,1,Cash,674.0116154792462,Dress,2
1,6,1,Cash,965.1382914205366,Handbag,5
4,2,0,Cash,999.2481744221956,Handbag,2
4,3,0,Credit Card,953.3929221198846,Jacket,1
5,0,0,Credit Card,721.0599218009996,Sneakers,5
7,2,0,Credit Card,748.9764246918708,Scarf,2
7,2,0,Cash,761.6179966329272,Scarf,3
11,4,0,Credit Card,863.9788277808271,Jacket,4
4,5,1,Credit Card,952.2676082236859,Jeans,5
7,2,0,Credit Card,451.24908307512425,Scarf,2
11,6,1,Cash,422.3457692617057,Belt,4
3,5,1,Credit Card,465.8598177548444,Jacket,5
6,4,0,Cash,663.2189997420282,Jeans,3
12,6,1,Credit Card,777.690942314987,Sneakers,4
2,0,0,Credit Card,871.8389469923159,Jeans,4
10,1,0,Credit Card,461.64864673977956,Handbag,2
9,1,0,Cash,369.7388999183282,Scarf,3
5,3,0,Cash,983.5190885552042,T-shirt,2
6,3,0,Credit Card,239.568744797154,Skirt,6
12,0,0,Credit Card,229.7847868999525,Scarf,2
12,1,0,Cash,718.2533802782307,Skirt,4
12,3,0,Cash,187.8607226466159,Handbag,4
12,5,1,Credit Card,405.4149097486612,Scarf,3
4,2,0,Credit Card,299.46295409110945,Dress,5
11,4,0,Cash,177.02335218937912,Skirt,4
10,6,1,Credit Card,583.9101667069147,Jacket,3
7,3,0,Cash,379.7763758470826,Dress,3
12,0,0,Credit Card,467.61183111996155,Jacket,3
9,6,1,Credit Card,203.90437477726084,Dress,2
7,1,0,Credit Card,770.188134645039,Jeans,1
1,0,0,Credit Card,321.5649626162383,Jacket,3
1,4,0,Cash,349.29099723662983,Jeans,1
9,4,0,Credit Card,259.63242247911154,Dress,3
11,0,0,Credit Card,440.0595363978435,Sneakers,2
9,3,0,Credit Card,468.94086096628524,Jeans,3
4,3,0,Credit Card,534.37024716622,Handbag,1
9,1,0,Credit Card,967.8925991621203,Jacket,2
3,5,1,Credit Card,905.6448899652464,Dress,5
7,1,0,Cash,613.2987046771831,Belt,2
6,2,0,Credit Card,48.51443308546652,Handbag,3
8,5,1,Cash,616.1377374679672,Jeans,3
11,6,1,Cash,98.77192069647509,Skirt,2
9,2,0,Cash,713.2407961335598,T-shirt,4
5,1,0,Cash,396.1768701151213,Scarf,2
1,5,1,Credit Card,839.3195266528335,Jeans,4
3,5,1,Credit Card,943.1039528124793,Handbag,5
10,2,0,Credit Card,422.9392380509529,Sweater,3
12,0,0,Cash,465.94974251900874,Scarf,4
8,3,0,Credit Card,594.2461052027218,Dress,3
11,5,1,Cash,205.16139463947002,Scarf,3
6,6,1,Cash,928.0595124200777,Sneakers,2
8,6,1,Credit Card,438.66992723635894,Sweater,2
9,5,1,Cash,175.15213255684725,Jacket,2
4,2,0,Cash,765.1045150846951,Jacket,2
1,5,1,Cash,226.95985871954534,Jacket,4
1,2,0,Cash,152.09398232113642,Jacket,4
10,0,0,Credit Card,567.2433547390671,Jacket,2
4,6,1,Cash,674.7803027386749,Scarf,2
12,5,1,Cash,573.8671132582672,Scarf,4
7,4,0,Cash,659.9455424578896,Handbag,4
2,1,0,Credit Card,124.36877218466701,Skirt,2
3,6,1,Credit Card,481.25785750526626,Skirt,5
1,0,0,Cash,363.4484576476558,Sneakers,4
5,4,0,Credit Card,973.6349300777206,Dress,2
1,6,1,Credit Card,59.12769483767275,Sweater,2
8,0,0,Credit Card,305.3112610293238,Belt,1
1,3,0,Credit Card,942.4435721508048,Handbag,5
11,0,0,Cash,983.6612213524862,Handbag,3
1,0,0,Cash,826.6525916498622,Jacket,4
2,3,0,Credit Card,85.23826157624522,Belt,3
2,5,1,Credit Card,565.7414780601049,Scarf,4
12,1,0,Credit Card,406.1217627437625,Jeans,3
6,4,0,Credit Card,808.3880420184477,Scarf,2
7,6,1,Credit Card,64.47399321561996,Sneakers,5
5,2,0,Credit Card,205.1574641282551,Skirt,5
1,1,0,Credit Card,494.3031155604031,Skirt,4
1,6,1,Cash,166.07118631834868,Jeans,4
3,0,0,Cash,695.7879912673552,T-shirt,5
2,2,0,Credit Card,822.5595489284003,Handbag,5
5,3,0,Credit Card,707.4746946913671,Handbag,2
12,1,0,Cash,445.8808765035825,Skirt,4
10,5,1,Cash,879.6037895901197,Sneakers,4
6,4,0,Credit Card,146.3092704027423,Sneakers,5
7,1,0,Cash,267.7351980600188,Jacket,1
4,1,0,Cash,494.64428839978024,Jacket,1
7,5,1,Credit Card,70.72521289045945,Jeans,4
11,2,0,Cash,104.7289237508818,Scarf,2
8,3,0,Credit Card,403.4689380051484,Belt,3
11,5,1,Cash,944.4474337672085,Dress,4
1,6,1,Credit Card,909.3295563442302,Handbag,4
6,3,0,Cash,471.31510969562703,Belt,3
8,5,1,Cash,150.73695906562276,Jacket,2
5,1,0,Credit Card,186.32657939885124,Sweater,4
4,3,0,Cash,383.770594063036,Jacket,2
2,2,0,Cash,217.97345313591356,T-shirt,5
6,2,0,Credit Card,92.14583844647404,Sweater,4
6,4,0,Cash,677.0397086847971,Scarf,3
11,3,0,Cash,585.6341514147679,T-shirt,5
1,4,0,Credit Card,298.3837903983042,Jeans,4
9,6,1,Credit Card,781.1588987267811,Dress,3
12,5,1,Credit Card,778.1893988287761,Handbag,3
11,0,0,Credit Card,496.0919505106342,Jacket,2
6,6,1,Credit Card,105.56722995677494,Handbag,4
3,2,0,Credit Card,919.284706100344,T-shirt,5
4,1,0,Credit Card,671.9739183055616,Skirt,5
12,2,0,Credit Card,254.58031096043143,Skirt,3
11,0,0,Cash,614.3500015638843,Sweater,3
4,1,0,Cash,410.97128086935396,Handbag,1
3,3,0,Credit Card,638.9961433385984,Handbag,6
10,3,0,Cash,479.1321867737106,Sneakers,4
3,6,1,Credit Card,490.6174287373361,Dress,5
3,2,0,Cash,738.5232709882857,Handbag,1
4,1,0,Cash,617.588488603336,Sweater,1
7,5,1,Credit Card,89.1531643317834,Scarf,4
4,1,0,Cash,74.71983474184061,Jeans,4
9,4,0,Cash,311.959145121758,Dress,5
1,0,0,Cash,435.9435365733588,Belt,4
8,6,1,Credit Card,282.4703335874932,Handbag,1
7,3,0,Cash,654.9452594892189,Jeans,3
2,2,0,Cash,203.1568524083657,Skirt,5
8,1,0,Credit Card,707.099685432208,Jeans,2
1,3,0,Cash,775.4192344700409,Jacket,6
11,2,0,Cash,133.07611451969407,Skirt,2
12,3,0,Cash,654.2981809293581,Belt,5
9,2,0,Cash,961.8216161411129,Belt,4
9,3,0,Credit Card,200.89557909071328,Handbag,2
2,5,1,Credit Card,910.2098028049929,Handbag,4
7,4,0,Credit Card,609.9874697812764,Jeans,3
10,0,0,Cash,595.0354186583947,Sneakers,3
3,3,0,Credit Card,61.40345549765849,Sneakers,4
7,0,0,Cash,750.8172756025342,Handbag,2
12,3,0,Cash,483.4903221215776,T-shirt,5
10,6,1,Credit Card,723.9626479167828,Sneakers,3
9,1,0,Credit Card,811.0892924121399,Handbag,2
4,4,0,Credit Card,528.5584096385558,Handbag,2
12,6,1,Cash,271.007870145531,Sweater,4
1,5,1,Cash,150.15676647888523,Jeans,4
2,4,0,Cash,168.89809665309014,Belt,6
1,0,0,Cash,868.2653074063408,Sneakers,4
12,1,0,Credit Card,132.3423146740848,Jeans,1
5,2,0,Credit Card,390.8471323161028,T-shirt,1
5,6,1,Cash,340.9318998261405,Handbag,2
11,4,0,Cash,866.8011100715805,Sweater,5
7,5,1,Credit Card,482.9165656873487,Jeans,1
9,6,1,Credit Card,996.4819531746563,Dress,3
9,1,0,Cash,739.6841988401133,Belt,3
3,1,0,Credit Card,852.4143396502428,Belt,5
3,0,0,Cash,107.68554336640814,T-shirt,3
3,5,1,Cash,260.57123271224697,Sneakers,5
4,1,0,Cash,144.09173361610996,Dress,4
8,1,0,Cash,468.9857526765541,Sweater,3
6,2,0,Credit Card,721.1046132802907,Sweater,1
8,0,0,Credit Card,177.37293252097018,Scarf,5
1,0,0,Cash,138.8668591240414,Belt,2
8,5,1,Cash,618.462661292636,Skirt,3
4,1,0,Cash,238.00962622578973,Jacket,5
11,2,0,Cash,484.53182103620355,Sneakers,4
1,3,0,Cash,60.606550450440544,T-shirt,4
8,4,0,Credit Card,683.8066839467901,Sweater,3
4,6,1,Cash,545.9032178256331,Skirt,2
6,0,0,Credit Card,650.9486699690465,Handbag,5
8,2,0,Cash,282.65231625914856,Scarf,2
4,5,1,Cash,285.8169456079158,Jacket,5
3,2,0,Cash,803.3469277598506,Skirt,1
9,1,0,Cash,721.3766898549779,Belt,3
3,4,0,Credit Card,583.9313646866285,T-shirt,1
9,0,0,Credit Card,631.8620410242597,Jacket,2
2,3,0,Credit Card,103.10373770609439,Jeans,3
2,1,0,Cash,857.6095914067411,Sneakers,5
2,0,0,Credit Card,772.207962681546,Sweater,4
6,6,1,Cash,594.5866184852132,Jeans,2
3,5,1,Cash,919.4091797898981,Sweater,6
9,0,0,Credit Card,176.9515286224058,Dress,6
4,2,0,Cash,689.7908121738252,Handbag,2
1,6,1,Cash,963.3519598756393,Jacket,5
4,4,0,Credit Card,316.90887492422166,Scarf,2
1,3,0,Credit Card,25.13939092683443,Scarf,2
5,4,0,Cash,737.5187922994418,Belt,3
4,2,0,Credit Card,16.910521211565793,Sweater,3
8,3,0,Credit Card,873.8083126903454,Skirt,3
8,3,0,Credit Card,65.73823958253415,T-shirt,6
7,1,0,Cash,656.2370825731584,Belt,2
3,3,0,Cash,383.4123029789189,Scarf,2
1,0,0,Credit Card,211.3072471795655,T-shirt,2
1,4,0,Cash,899.2758158552907,Skirt,1
12,5,1,Cash,748.7833934075936,Handbag,4
11,5,1,Credit Card,347.03616048182755,Handbag,3
3,4,0,Credit Card,291.31156192865274,Dress,5
6,1,0,Credit Card,738.652171219528,Scarf,6
7,3,0,Cash,838.2050549802672,Jeans,3
6,2,0,Cash,718.6919596528513,T-shirt,2
6,6,1,Cash,643.589332785384,Handbag,2
6,6,1,Cash,235.64547793676232,T-shirt,1
3,0,0,Credit Card,854.2759434437075,Sweater,4
6,1,0,Credit Card,752.1653636237911,Scarf,6
8,6,1,Credit Card,522.1015468687502,Jacket,2
11,3,0,Credit Card,516.471884644113,Handbag,4
11,5,1,Credit Card,573.4812975292729,Skirt,3
2,2,0,Cash,829.9936302368761,Scarf,6
5,3,0,Credit Card,744.836953349182,T-shirt,2
1,1,0,Cash,857.6825440064245,Jacket,5
12,2,0,Cash,512.2099439421352,T-shirt,5
1,6,1,Credit Card,628.4025684280746,Jacket,4
5,2,0,Cash,856.0260888270197,Jeans,2
12,2,0,Cash,239.99685957494822,Sneakers,4
3,2,0,Credit Card,449.58047345366174,Sweater,5
4,6,1,Cash,624.4457146095931,Scarf,2
3,3,0,Credit Card,915.9947947845204,Skirt,6
1,2,0,Credit Card,25.677650935663728,T-shirt,1
1,3,0,Cash,220.44742659149526,Belt,5
12,2,0,Cash,242.1060026836775,Jacket,4
12,2,0,Credit Card,333.3465534591763,Sweater,4
5,1,0,Cash,288.9687542164721,Scarf,6
6,3,0,Credit Card,594.2373977066162,Sweater,2
3,5,1,Credit Card,886.7640616121979,T-shirt,5
12,3,0,Credit Card,640.6080626616655,Sneakers,4
9,4,0,Credit Card,249.11129336481557,Sweater,3
5,6,1,Credit Card,865.1153215693837,Sneakers,1
8,5,1,Credit Card,635.7253312560382,Belt,2
1,1,0,Cash,226.77250373802255,Belt,4
5,3,0,Credit Card,368.04987179483817,Jeans,2
3,1,0,Cash,792.0651586723847,Handbag,6
12,5,1,Cash,741.5418696722431,Handbag,4
1,1,0,Cash,580.8165458105861,Handbag,5
4,1,0,Credit Card,153.3198277131562,Dress,4
5,0,0,Credit Card,805.2564043413591,Belt,5
7,3,0,Cash,314.46710326722064,T-shirt,3
1,1,0,Credit Card,773.8819596091707,Sneakers,4
3,0,0,Cash,651.0907021046362,Jeans,5
2,0,0,Credit Card,271.528578827083,Jeans,3
9,2,0,Credit Card,220.24553585133012,Sweater,2
10,2,0,Credit Card,139.60082402514158,Handbag,1
6,6,1,Cash,249.5267742222346,Sweater,1
10,5,1,Cash,166.2507322246486,Handbag,2
3,3,0,Cash,620.8807353098738,Scarf,2
8,2,0,Credit Card,602.795287787481,T-shirt,2
8,5,1,Credit Card,590.3103395314693,Scarf,2
2,3,0,Cash,645.47091113259,Jeans,1
6,5,1,Cash,816.6366886249207,Sweater,2
7,6,1,Cash,914.4171844343055,Belt,3
2,6,1,Credit Card,238.0717825227445,T-shirt,4
11,0,0,Cash,591.8967452672364,Jeans,3
10,0,0,Credit Card,87.55285903479874,Jeans,5
2,3,0,Credit Card,128.94101397203917,Handbag,3
10,5,1,Cash,657.7959198317766,Jeans,4
1,5,1,Credit Card,491.7147560735463,Scarf,4
8,2,0,Credit Card,760.7487659660894,Jacket,2
1,2,0,Credit Card,431.4207061806656,Belt,4
9,3,0,Credit Card,136.32242276460872,T-shirt,1
11,4,0,Cash,873.3331172925172,Scarf,5
6,2,0,Credit Card,92.05958643386906,Scarf,4
7,1,0,Cash,197.07499611002822,Dress,1
10,2,0,Credit Card,284.2070973022325,T-shirt,2
7,4,0,Cash,995.3278009947725,Jacket,4
10,5,1,Credit Card,422.69122197422405,Handbag,2
3,0,0,Cash,506.69144517333376,Sneakers,5
2,0,0,Credit Card,771.9997834641298,Skirt,4
9,5,1,Cash,640.0514294854256,Sneakers,3
8,0,0,Cash,843.0064850219201,Sweater,2
12,2,0,Cash,491.56912400201486,Sneakers,5
10,6,1,Credit Card,972.4559106182897,T-shirt,3
7,0,0,Credit Card,798.8442379704449,Handbag,6
9,6,1,Cash,407.3517344301325,T-shirt,4
4,4,0,Credit Card,387.4591047157955,Jacket,2
4,6,1,Cash,930.1962801237756,Sneakers,2
1,4,0,Cash,687.57147945657,Sneakers,1
8,2,0,Credit Card,625.2192981803822,Dress,2
12,5,1,Credit Card,760.2523310594728,Scarf,3
3,1,0,Credit Card,565.2254898305944,Dress,5
7,2,0,Credit Card,167.5751053548694,T-shirt,6
12,0,0,Credit Card,326.0233074576468,Handbag,3
2,2,0,Credit Card,562.3654150718801,Sweater,5
2,4,0,Cash,27.986142717895287,Belt,4
7,2,0,Cash,442.97719791359555,Jeans,3
6,2,0,Cash,758.2448504831773,Jeans,2
3,1,0,Credit Card,172.59166447110962,Belt,4
9,4,0,Cash,73.91336065533666,Dress,3
10,3,0,Credit Card,837.6688493204215,Skirt,4
6,3,0,Credit Card,621.1011297787284,Dress,2
10,4,0,Credit Card,184.81318276456932,Belt,3
10,3,0,Cash,808.2419307773616,Scarf,4
6,0,0,Cash,661.5481767723402,Sneakers,1
1,3,0,Credit Card,340.7780769519538,Dress,5
4,0,0,Cash,382.4343092421218,Scarf,6
10,4,0,Credit Card,164.32928155517786,Skirt,3
6,3,0,Credit Card,836.9030382666529,Belt,2
6,3,0,Cash,513.9165851273046,Handbag,3
11,5,1,Credit Card,561.4488858772239,Belt,3
12,6,1,Credit Card,884.6569960457703,Handbag,4
5,0,0,Credit Card,25.672310288562976,Belt,2
1,0,0,Credit Card,76.25383189805913,Sweater,1
8,2,0,Cash,169.96319204121687,Sneakers,2
5,1,0,Cash,39.737434957264114,Dress,4
12,3,0,Credit Card,661.5745950581555,Handbag,4
12,5,1,Credit Card,637.5406735064375,Belt,3
12,1,0,Credit Card,218.69388389969575,Jacket,2
5,6,1,Cash,157.9123804378278,Dress,1
7,6,1,Cash,154.22785437274064,Skirt,2
4,5,1,Cash,953.7089991854559,Belt,1
6,1,0,Cash,696.5694833384941,Belt,2
4,3,0,Cash,589.5745401804285,Jeans,2
3,6,1,Credit Card,329.26200308704335,T-shirt,5
7,5,1,Cash,438.71276592970173,Dress,2
8,0,0,Cash,98.51182238721559,Scarf,5
4,2,0,Credit Card,998.1703691744514,Jacket,6
2,5,1,Cash,757.5346089359184,Belt,5
12,4,0,Credit Card,625.2386252599456,Handbag,5
10,6,1,Credit Card,591.8895232756034,Jacket,3
3,6,1,Cash,509.27122831284083,Sneakers,1
1,3,0,Cash,264.85315339794886,Jacket,5
8,3,0,Cash,234.1264994251364,Belt,3
3,4,0,Cash,554.0371326173322,Skirt,2
12,6,1,Credit Card,79.49880641237216,Jeans,2
10,1,0,Credit Card,83.72609087985033,Belt,6
7,2,0,Cash,565.2054671287466,Sneakers,3
10,1,0,Credit Card,920.6139277281368,Scarf,2
5,4,0,Credit Card,915.129132618556,T-shirt,2
10,4,0,Credit Card,20.7200176541844,Skirt,1
5,2,0,Cash,116.32027349097528,Handbag,5
7,4,0,Credit Card,587.246916821108,Skirt,3
9,4,0,Credit Card,849.9909645881025,Sweater,4
12,6,1,Credit Card,954.9045957902604,Dress,4
5,5,1,Cash,861.9764037853215,Jacket,2
1,6,1,Credit Card,680.8370039434913,T-shirt,4
10,2,0,Credit Card,208.5198268133434,Sneakers,2
10,3,0,Credit Card,81.89525923917273,T-shirt,2
1,1,0,Credit Card,57.04062485878827,Sweater,2
2,3,0,Credit Card,615.9560167791573,Belt,5
6,3,0,Credit Card,45.826717975204154,Jacket,4
9,5,1,Credit Card,741.8475569008951,Dress,2
8,1,0,Cash,715.3460299774595,Handbag,3
5,3,0,Cash,88.81471652891213,Skirt,6
1,2,0,Cash,907.5561413864267,Handbag,5
7,1,0,Cash,526.7099957390493,Belt,2
5,0,0,Cash,905.3941816643543,Handbag,1
6,5,1,Cash,902.5939556264389,Jacket,2
7,3,0,Credit Card,205.06372324824713,Skirt,1
3,4,0,Cash,386.77185165692197,Scarf,2
12,1,0,Cash,143.28007016877808,Skirt,2
10,0,0,Cash,777.2282300349575,T-shirt,3
3,4,0,Cash,509.0836663824839,Scarf,2
5,0,0,Credit Card,929.5194996410321,Jeans,5
6,3,0,Credit Card,216.13306272751458,Jacket,6
9,4,0,Credit Card,691.4839849040337,T-shirt,4
12,3,0,Credit Card,989.3444594949817,Dress,4
5,4,0,Cash,668.7274492027814,Scarf,3
1,1,0,Credit Card,78.08619350240552,Jacket,2
4,6,1,Cash,592.5401061982386,Scarf,2
5,2,0,Credit Card,188.04432218442435,Skirt,5
12,6,1,Cash,40.197749645122244,Jeans,2
10,2,0,Cash,341.611090332162,Belt,4
10,6,1,Credit Card,273.4430422235251,Jacket,2
5,0,0,Credit Card,790.8831898275965,Belt,5
7,5,1,Credit Card,379.94373566731946,Sweater,1
4,4,0,Credit Card,735.6291925813445,Dress,2
1,3,0,Credit Card,26.076602029838114,T-shirt,2
5,5,1,Credit Card,24.66401209905714,Jacket,2
7,1,0,Credit Card,39.02032297208153,Skirt,3
10,1,0,Cash,227.16485736475465,T-shirt,2
10,1,0,Credit Card,380.2479071782761,Handbag,2
6,2,0,Cash,611.767345085686,Belt,2
5,3,0,Cash,986.0547469687031,Sweater,2
4,1,0,Credit Card,360.86547134418925,Scarf,5
2,1,0,Cash,65.10231768959457,Sweater,3
4,6,1,Credit Card,202.95116004919018,T-shirt,5
10,0,0,Cash,898.8733154767135,Jeans,3
10,4,0,Credit Card,702.3853982462318,Skirt,4
3,4,0,Credit Card,792.2988157981742,Scarf,1
10,4,0,Credit Card,132.9265236160647,Belt,2
1,5,1,Credit Card,143.63711882043285,Jacket,2
8,6,1,Credit Card,121.12354746944703,Sweater,5
5,6,1,Cash,858.5974726664297,Sweater,2
4,0,0,Credit Card,217.86793260666838,Scarf,4
8,2,0,Credit Card,646.7202279259244,Sneakers,2
7,5,1,Cash,521.0047025214265,Sneakers,2
2,0,0,Credit Card,548.9460127551151,Sneakers,4
1,1,0,Cash,203.48100480735556,Dress,4
12,3,0,Credit Card,638.8936325194496,Jeans,4
11,5,1,Cash,52.66952911374786,Skirt,2
4,5,1,Credit Card,993.5375534950524,Skirt,5
8,1,0,Credit Card,36.49131742780176,Dress,4
12,1,0,Cash,59.654975308703555,Sneakers,2
2,3,0,Cash,331.40094569276454,Jeans,1
